,team_depth_1,score_depth_1,team_depth_2,score_depth_2,team_depth_3,score_depth_3,team_depth_4,score_depth_4,team_depth_5,score_depth_5,team_depth_6,score_depth_6,team_depth_7,score_depth_7,team_depth_8,score_depth_8,team_depth_9,score_depth_9,team_depth_10,score_depth_10
113, Illinois,0.18181818181818182, Virginia,0.24449035812672174, Marshall,0.27047092026430863, East_Carolina,0.27802945047967614, East_Carolina,0.2817652071104998, East_Carolina,0.28310403644114973, East_Carolina,0.2835766983666085, East_Carolina,0.28374050521191796, East_Carolina,0.28379623236117724, East_Carolina,0.2838148872113906
114, Georgia_St,0.18181818181818182, East_Carolina,0.24380165289256195, East_Carolina,0.2681567743551214, Marshall,0.2760695514244397, Marshall,0.2779120834289936, Marshall,0.2785148288603609, Marshall,0.27871302019915556, Marshall,0.27877906339444514, Marshall,0.2788011331171172, Marshall,0.278808500474011
115, Purdue,0.18181818181818182, Utah_St,0.24242424242424238, Utah_St,0.26279843893480254, Utah_St,0.2697082340677385, Utah_St,0.27197182211717835, Utah_St,0.2727089392143242, Utah_St,0.2729509011846026, Utah_St,0.27303034571492724, Utah_St,0.2730564738685201, Utah_St,0.27306504998191095
116, East_Carolina,0.18181818181818182, Purdue,0.23140495867768596, Rice,0.24398948159278747, Rice,0.24829618790926086, Michigan_St,0.2502466200810293, Michigan_St,0.2512093955037527, Michigan_St,0.2515437051804697, Michigan_St,0.25165797179654864, Michigan_St,0.25169654696814625, Michigan_St,0.2517094379014217
117, FL_Atlantic,0.18181818181818182, Rice,0.23140495867768596, Michigan_St,0.23989898989898994, Michigan_St,0.24750702217127862, Rice,0.249678747334993, Rice,0.25013737443154993, Rice,0.2502902162297893, Rice,0.2503415076944946, Rice,0.2503585689041287, Rice,0.25036421766600986
118, Utah_St,0.18181818181818182, Georgia_St,0.2231404958677686, Georgia_St,0.23892292280722033, Georgia_St,0.244498997955046, Georgia_St,0.24643820050884546, Georgia_St,0.24706735524066306, Georgia_St,0.24727482231071635, Georgia_St,0.24734338830415664, Georgia_St,0.24736592123830262, Georgia_St,0.24737329232453645
119, Buffalo,0.18181818181818182, Connecticut,0.2231404958677686, Purdue,0.2389181066867017, Purdue,0.2415573407308946, Purdue,0.24258555965163567, Purdue,0.24293521991977232, Purdue,0.2430494420128538, Purdue,0.24308683958926455, Purdue,0.2430991464491564, Purdue,0.24310319590501783
120, Michigan_St,0.18181818181818182, FL_Atlantic,0.2231404958677686, Connecticut,0.23522414224893565, Connecticut,0.2398573669422656, Connecticut,0.2414430639536924, Connecticut,0.24201465171237221, Connecticut,0.24221421871550122, Connecticut,0.24228251620447358, Connecticut,0.2423056166900865, Connecticut,0.24231336079047494
121, Marshall,0.18181818181818182, Michigan_St,0.22038567493112948, FL_Atlantic,0.23516153268219386, FL_Atlantic,0.2386890125902147, FL_Atlantic,0.2398647480118176, FL_Atlantic,0.24024927809849286, FL_Atlantic,0.2403743425632592, FL_Atlantic,0.24041573473952021, FL_Atlantic,0.24042950204807215, FL_Atlantic,0.2404340583070021
122, Connecticut,0.18181818181818182, Illinois,0.2066115702479339, Illinois,0.2156273478587529, Illinois,0.21964479505801843, Illinois,0.22109005851799743, Illinois,0.22158028702103486, Illinois,0.22174600799230712, Illinois,0.22180165403828306, Illinois,0.2218201477631405, Illinois,0.22182626867941035
